street_number,latitude,longitude,name_and_business,icon
407,-31.94414083,115.8621828,"Agnes Doran, Nurse",icon_1912
195,-31.94920109,115.8588771,"Albert Weaver, Bootmaker",icon_1912
257,-31.94760683,115.8598396,"Alex Patman, Wine Saloon",icon_1912
259,-31.94765147,115.8599232,"Alex Patman, Wine Saloon",icon_1912
196,-31.94943879,115.8594474,"Alex Teplitzky, Clother ",icon_1912
459,-31.94292947,115.862966,"Alfred Kemp, Ham & Beef Shop",icon_1912
410,-31.94442476,115.8628137,Alfred S. Locke,icon_1912
183,-31.94951054,115.8586061,"Alla J. Butt, Watchmaker",icon_1912
200,-31.94924329,115.8594237,"Anthony Picone, Confectioner",icon_1912
171,-31.94957601,115.8584406,"Army & Navy Stores (Arthur C Macey, manager) Grocers",icon_1912
194,-31.94941671,115.859287,"Arthur E. Stephenson, Furniture Dealer",icon_1912
237,-31.94815173,115.8594664,"Arthur G Marflett, Land Agent
William Sherwood, Fruiterer",icon_1912
310,-31.94673274,115.8611876,"Ben Jones, Shoemaker",icon_1912
283,-31.94698423,115.8602296,"Bennett & Burnside, Grocers",icon_1912
415,-31.94394138,115.8621929,"Bernhardt Santinover, Picture Frame Maker",icon_1912
399,-31.94421291,115.8618797,Bertram Williams,icon_1912
253,-31.94776862,115.8599617,Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),icon_1912
255,-31.9476946,115.8598678,Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),icon_1912
421,-31.94392889,115.8623776,"Cecil D. Baker, Painter",icon_1912
381,-31.94435912,115.8615262,Charles Banfield,icon_1912
295,-31.94670076,115.8605385,"Charles H. Nielson
Robert Thomson, Fuel Merchant ",icon_1912
190,-31.94952101,115.8595124,"Chris Douglas, Fruiterer",icon_1912
215,-31.94860366,115.8592193,"Daniel H. Lillingston, Watchmaker & Jeweller",icon_1912
202,-31.94926489,115.8596251,"David Rosen, Pawn Broker",icon_1912
178,-31.94968645,115.8591091,Davies-Franklin Cycle Agency. Alfred Craig (manager) ,icon_1912
182,-31.94961182,115.8591643,"Edward Baker, Furniture Maker",icon_1912
